author_display_name,text,created_at,indexed_at,like_count,reply_count,repost_count,quote_count,languages,mentions
Steven  Beschloss,"Don’t just say DEI as if it’s a bad word. Spell it out. 

Say diversity, which is the lifeblood of American society & culture & innovation. 

Say equity, which a just society should pursue.

Say inclusion, because decent people believe in increasing belonging, not isolating people who are different.",2025-02-09T14:10:44.395Z,2025-02-09T14:10:45.169Z,770,34,212,7,['en'],
Bill Kristol,"The world in 2025.

Hundreds of thousands of Germans oppose neo-fascism.

The top aide to the president of the United States supports it.

apnews.com/article/germ...",2025-02-09T13:47:27.411Z,2025-02-09T13:47:29.455Z,1205,37,330,19,['en'],
Rick Wilson,"Darwin's Waiting Room starts to figure it out: 

www.al.com/news/2025/02...",2025-02-09T13:47:13.691Z,2025-02-09T13:47:15.060Z,1144,117,206,15,['en'],
Kyle Griffin,"Heads up: The co-author of Project 2025 just issued a directive to halt almost ALL activity out of the Consumer Financial Protection Bureau.
 
Russ Vought instructed employees to ""cease all supervision and examination activity"" and pause all pending investigations.
www.nbcnews.com/politics/dog...",2025-02-09T13:25:36.442Z,2025-02-09T13:25:37.456Z,920,106,534,74,['en'],
Orange Dick Tater Hater,,2025-02-09T13:57:41.676Z,2025-02-09T13:57:34.154Z,643,39,183,14,['en'],
The Tennessee Holler ,"“A dark day… today we all lose….”

Shuttering U.S.A.I.D. is impacting the soybean industry — Tennessee’s #1 cash crop, contributing billions to our economy. 

More: arec.tennessee.edu/wp-content/u...",2025-02-09T13:24:24.470Z,2025-02-09T13:24:26.952Z,1046,115,410,36,['en'],
Mondo Mascots,Kishi Station in Wakayama has a cat stationmaster named Nitama (who I spotted taking a nap there today).,2025-02-09T14:07:06.381Z,2025-02-09T14:07:10.548Z,324,1,69,5,['en'],
Mia Farrow,What a beautiful morning,2025-02-09T13:58:09.949Z,2025-02-09T13:58:14.355Z,747,42,29,2,['en'],
Bluesky Fanatic,,2025-02-09T13:49:44.849Z,2025-02-09T13:49:48.255Z,616,19,149,5,['en'],
Libra on Fire 🔥 ⚖️,".
HAPPY BOYCOTT THE SUPER BOWL DAY! 🏈🏟️🥳

Ur ancestors marched, fought, and DIED for rights that are being ripped away right now & all you have to do is not turn on a game.

Make this the LOWEST-WATCHED Super Bowl ever.

Do your part. 

#BoycottTheSuperBowl
#NFL
#SuperBowl #Eagles #Chiefs #Kendrick",2025-02-09T13:43:20.720Z,2025-02-09T13:43:20.956Z,803,51,207,17,['en'],
Boricua405 on X,,2025-02-09T11:17:39.782Z,2025-02-09T11:17:41.011Z,6554,94,1457,57,['en'],
John Pavlovitz,"Evangelicals,

Your incessant attacks on Transgender human beings are the rotten fruit of a toxic faith that has needs an enemy to feel valid; a religion that cannot exist unless it has an imminent danger to wiped out.

johnpavlovitz.substack.com/p/evangelica...",2025-02-09T12:48:11.923Z,2025-02-09T12:48:12.754Z,1849,81,422,29,['en'],
Robert Evans (the Only Robert Evans),Monkey Man is goddamn incredible. I wish this had gotten more attention than RRR.,2025-02-09T14:13:17.565Z,2025-02-09T14:13:19.251Z,370,27,14,1,['en'],
Krassensteins,,2025-02-09T12:32:32.760Z,2025-02-09T12:32:34.351Z,2126,50,362,8,['en'],
Peter Stefanovic,"I’m sure “DOGE” will be all over this..

truthout.org/articles/tes...",2025-02-09T11:03:20.700Z,2025-02-09T11:03:22.653Z,4629,208,1788,83,['en'],
Orange Dick Tater Hater,Spread the message!,2025-02-09T12:24:22.812Z,2025-02-09T12:24:15.250Z,1404,50,666,39,['en'],
Jim Swanson,"
Too true!",2025-02-09T12:48:46.088Z,2025-02-09T12:48:48.448Z,1242,13,289,6,['en'],
WuTangIsForTheChildren,Bill Burr in 2017 nailed it….,2025-02-09T13:50:03.477Z,2025-02-09T13:50:04.556Z,320,16,46,3,['en'],
Just Kidding,"Me: Get outta here you freak!

Guy robbing me at gunpoint: Hey no need to be rude :/",2025-02-09T14:03:26.772Z,2025-02-09T14:03:27.152Z,304,4,11,1,['en'],
Orange Dick Tater Hater,,2025-02-09T12:23:16.178Z,2025-02-09T12:23:09.647Z,2348,60,413,22,['en'],
