iteration,algorithm,k,event_length,overlap,num_nodes,num_timestamps,relative_cost,total_length,true_length,precision,recall,f_measure,precision_ilp,recall_ilp,f_measure_ilp,ilp_time,nnodes
0,baseline,10,10,0.5,50,5000,65.9640810685665,29683.836480854927,5000,0.31895427274425775,0.5513739714449301,0.40413047662532836,0,0,0,0,50
1,baseline,10,10,0.5,50,5000,73.3987630659742,33029.44337968839,5000,0.4234907764538203,0.656424250079175,0.5148360908387692,0,0,0,0,50
2,baseline,10,10,0.5,50,5000,73.32182200570402,32994.81990256681,5000,0.41054713165132756,0.6488424174240274,0.5028941310581119,0,0,0,0,50
3,baseline,10,10,0.5,50,5000,71.14464894522402,32015.09202535081,5000,0.39665457036395596,0.6313704091034604,0.4872176520325222,0,0,0,0,50
0,baseline,10,10,0.5,100,10000,138.64944924538085,124784.50432084277,10000,0.4157216205060004,0.6508562443068162,0.5073703880910084,0,0,0,0,100
1,baseline,10,10,0.5,100,10000,140.10188875663647,126091.69988097281,10000,0.3890393772277632,0.6301667716514655,0.4810796886626054,0,0,0,0,100
2,baseline,10,10,0.5,100,10000,140.6758824334121,126608.29419007091,10000,0.4213459886921998,0.6488769701065894,0.5109247680801468,0,0,0,0,100
3,baseline,10,10,0.5,100,10000,138.30719878336322,124476.47890502689,10000,0.4148771135423168,0.6461601923468905,0.5053113099772922,0,0,0,0,100
0,baseline,10,10,0.5,200,20000,275.028909742392,495052.03753630555,20000,0.4307542733094452,0.6641271587086414,0.5225691171094435,0,0,0,0,200
1,baseline,10,10,0.5,200,20000,264.288285416448,475718.9137496064,20000,0.3799030261094542,0.6214956558778255,0.47155660303708097,0,0,0,0,200
2,baseline,10,10,0.5,200,20000,266.37296842051626,479471.3431569293,20000,0.4087122642520676,0.651381316682057,0.50227175717454,0,0,0,0,200
3,baseline,10,10,0.5,200,20000,267.85286119653614,482135.15015376505,20000,0.4185836212854,0.654643815677974,0.5106525785324846,0,0,0,0,200
0,baseline,10,10,0.5,300,30000,393.9255345023116,1063598.9431562414,30000,0.40590368335135374,0.6399942573096946,0.4967521519385162,0,0,0,0,300
1,baseline,10,10,0.5,300,30000,392.84374370323184,1060678.107998726,30000,0.41269475196558203,0.6455238133414448,0.5034957782233406,0,0,0,0,300
2,baseline,10,10,0.5,300,30000,389.8316103799579,1052545.3480258863,30000,0.4033928222283134,0.63285007164582,0.4927168677493598,0,0,0,0,300
3,baseline,10,10,0.5,300,30000,391.6521707455503,1057460.8610129857,30000,0.40756859248096866,0.641801809205289,0.4985432400403187,0,0,0,0,300
0,baseline,10,10,0.5,400,40000,526.4506934648101,1895222.4964733163,40000,0.4094581669599966,0.6392887282471984,0.49919001814936564,0,0,0,0,400
1,baseline,10,10,0.5,400,40000,537.2818726089187,1934214.7413921072,40000,0.4258613834314619,0.665886063394812,0.5194885703454623,0,0,0,0,400
2,baseline,10,10,0.5,400,40000,534.4690187174136,1924088.4673826892,40000,0.4019689844719181,0.6462149536354593,0.4956350869723081,0,0,0,0,400
3,baseline,10,10,0.5,400,40000,533.3006386987685,1919882.2993155667,40000,0.4145883073542705,0.655599493003599,0.5079554897108509,0,0,0,0,400
0,baseline,10,10,0.5,500,50000,669.0900248099533,3010905.11164479,50000,0.43243254347136906,0.6705329521954524,0.5257830297292186,0,0,0,0,500
1,baseline,10,10,0.5,500,50000,652.2432459202308,2935094.606641039,50000,0.4092730246137833,0.6465874611560583,0.5012609326160006,0,0,0,0,500
2,baseline,10,10,0.5,500,50000,657.688826357538,2959599.718608921,50000,0.41501436517366846,0.6537078612132551,0.5077056438652825,0,0,0,0,500
3,baseline,10,10,0.5,500,50000,656.9512511711034,2956280.630269965,50000,0.4186578918451759,0.6539551433013403,0.5104981436636203,0,0,0,0,500
